Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
810.00	0.40583	0.0050140	0.32944	0.0044290	0.24248	0.0032230	0.33290	0.0056810
815.00	0.40690	0.0048300	0.33006	0.0043160	0.24262	0.0032760	0.33323	0.0055530
820.00	0.40760	0.0047950	0.33018	0.0041260	0.24250	0.0033290	0.33380	0.0058310
825.00	0.40838	0.0049440	0.33031	0.0043540	0.24235	0.0032460	0.33355	0.0053040
830.00	0.40928	0.0049270	0.32989	0.0041710	0.24209	0.0033520	0.33429	0.0052120
835.00	0.40965	0.0049620	0.32989	0.0044000	0.24186	0.0034410	0.33414	0.0053210
840.00	0.41025	0.0049650	0.33008	0.0040170	0.24147	0.0033160	0.33352	0.0049700
845.00	0.41061	0.0049450	0.32897	0.0042110	0.24107	0.0033760	0.33429	0.0050140
850.00	0.41109	0.0049830	0.32919	0.0040850	0.24076	0.0033100	0.33418	0.0050820
855.00	0.41116	0.0048240	0.32919	0.0039840	0.23991	0.0037390	0.33456	0.0055580
860.00	0.41183	0.0046870	0.32818	0.0038940	0.23957	0.0034330	0.33406	0.0057800
865.00	0.41231	0.0044970	0.32736	0.0039140	0.23919	0.0034350	0.33493	0.0060220
870.00	0.41261	0.0044800	0.32810	0.0038380	0.23883	0.0033490	0.33497	0.0064030
875.00	0.41272	0.0042770	0.32818	0.0032670	0.23850	0.0030510	0.33343	0.0056200
880.00	0.41300	0.0041940	0.32702	0.0035690	0.23808	0.0028820	0.33413	0.0049910
885.00	0.41297	0.0043500	0.32589	0.0032920	0.23761	0.0028420	0.33341	0.0048910
890.00	0.41286	0.0038030	0.32630	0.0032290	0.23729	0.0029800	0.33320	0.0044510
895.00	0.41377	0.0040690	0.32599	0.0034010	0.23704	0.0029870	0.33357	0.0054080
900.00	0.41433	0.0039530	0.32607	0.0032560	0.23676	0.0027810	0.33430	0.0059120
905.00	0.41460	0.0048250	0.32655	0.0038420	0.23662	0.0033020	0.33467	0.0060940
910.00	0.41521	0.0043790	0.32729	0.0038190	0.23661	0.0031620	0.33562	0.0048100
915.00	0.41571	0.0042280	0.32568	0.0035760	0.23679	0.0029940	0.33535	0.0054820
920.00	0.41580	0.0039690	0.32565	0.0032820	0.23677	0.0028980	0.33628	0.0061160
925.00	0.41641	0.0043060	0.32727	0.0035450	0.23706	0.0030210	0.33707	0.0062070
930.00	0.41746	0.0039820	0.32737	0.0034490	0.23754	0.0029360	0.33701	0.0053000
935.00	0.41830	0.0042410	0.32809	0.0035740	0.23802	0.0028930	0.33849	0.0047700
940.00	0.41949	0.0040050	0.32824	0.0033700	0.23834	0.0029660	0.33828	0.0048640
945.00	0.42004	0.0041270	0.32914	0.0032040	0.23884	0.0029720	0.33993	0.0046920
950.00	0.42147	0.0040110	0.33088	0.0031660	0.23923	0.0028250	0.34026	0.0043000
955.00	0.42289	0.0040260	0.33175	0.0032870	0.23964	0.0030820	0.34111	0.0053170
