Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
1055.0	0.29207		0.23446	0.0021870	0.17434	0.0025740	0.22623	0.0015010
1060.0	0.29316		0.23517	0.0027490	0.17526	0.0024290	0.22738	0.0015950
1065.0	0.29383		0.23635	0.0025180	0.17625	0.0021310	0.22827	0.0017600
1070.0	0.29449		0.23709	0.0023390	0.17661	0.0024710	0.22868	0.0019710
1075.0	0.29570		0.23789	0.0024170	0.17822	0.0022380	0.22964	0.0015350
1080.0	0.29744		0.23903	0.0024120	0.17868	0.0022670	0.23037	0.0015170
1085.0	0.29801		0.24012	0.0022840	0.17963	0.0020840	0.23137	0.0018150
1090.0	0.29897		0.24088	0.0023300	0.18073	0.0019710	0.23214	0.0018870
1095.0	0.29971		0.24184	0.0023590	0.18160	0.0023650	0.23273	0.0015750
1100.0	0.30124		0.24295	0.0023850	0.18224	0.0025960	0.23358	0.0017220
1105.0	0.30199		0.24384	0.0026820	0.18354	0.0025150	0.23452	0.0017350
1110.0	0.30304		0.24508	0.0024620	0.18373	0.0022430	0.23512	0.0018060
1115.0	0.30402		0.24598	0.0026410	0.18420	0.0024990	0.23660	0.0021290
1120.0	0.30494		0.24708	0.0022660	0.18533	0.0023530	0.23737	0.0021810
1125.0	0.30598		0.24828	0.0024280	0.18658	0.0023580	0.23766	0.0018900
1130.0	0.30727		0.24951	0.0022450	0.18724	0.0024460	0.23833	0.0020390
1135.0	0.30734		0.24998	0.0024360	0.18802	0.0023870	0.24008	0.0017970
1140.0	0.30885		0.25090	0.0025990	0.18886	0.0021390	0.24025	0.0017850
1145.0	0.30967		0.25174	0.0025500	0.18961	0.0022450	0.24071	0.0022350
1150.0	0.31085		0.25314	0.0026700	0.18940	0.0023860	0.24152	0.0019550
1155.0	0.31184		0.25392	0.0025680	0.19014	0.0021710	0.24293	0.0017260
1160.0	0.31287		0.25525	0.0025480	0.19076	0.0023020	0.24363	0.0019610
1165.0	0.31316		0.25583	0.0024110	0.19117	0.0022320	0.24461	0.0021170
1170.0	0.31447		0.25708	0.0023480	0.19205	0.0021780	0.24497	0.0023240
1175.0	0.31542		0.25725	0.0025120	0.19244	0.0024830	0.24595	0.0017180
1180.0	0.31632		0.25850	0.0025540	0.19327	0.0022120	0.24709	0.0018130
