Wavelength	64801 <10	sd	64801 10-20	sd	64801 20-45	sd	64801 <45	sd
1320.0	0.36606	0.0024500	0.29219	0.0019270	0.24799	0.0028830	0.27979	0.0023940
1325.0	0.36708	0.0023910	0.29318	0.0020270	0.24886	0.0027600	0.28024	0.0024710
1330.0	0.36816	0.0023500	0.29419	0.0020890	0.24948	0.0028300	0.28137	0.0027280
1335.0	0.36836	0.0022900	0.29469	0.0024890	0.25060	0.0026300	0.28164	0.0024670
1340.0	0.36995	0.0023660	0.29574	0.0023100	0.25136	0.0023410	0.28252	0.0027080
1345.0	0.37008	0.0025960	0.29656	0.0023420	0.25164	0.0026070	0.28336	0.0025290
1350.0	0.37068	0.0024780	0.29724	0.0023200	0.25260	0.0021360	0.28407	0.0022640
1355.0	0.37142	0.0022990	0.29809	0.0025270	0.25298	0.0022860	0.28481	0.0026440
1360.0	0.37233	0.0025490	0.29875	0.0025320	0.25387	0.0024450	0.28520	0.0025560
1365.0	0.37343	0.0025480	0.29940	0.0027630	0.25442	0.0023310	0.28539	0.0024160
1370.0	0.37437	0.0024620	0.30040	0.0027840	0.25532	0.0028610	0.28600	0.0028130
1375.0	0.37561	0.0024340	0.30074	0.0025210	0.25628	0.0030240	0.28618	0.0025930
1380.0	0.37653	0.0026220	0.30176	0.0026850	0.25716	0.0024950	0.28641	0.0024400
1385.0	0.37743	0.0028220	0.30296	0.0026800	0.25794	0.0027720	0.28765	0.0028150
1390.0	0.37800	0.0027010	0.30433	0.0027350	0.25880	0.0030780	0.28940	0.0027750
1395.0	0.37877	0.0025920	0.30490	0.0027980	0.25905	0.0024810	0.28987	0.0025040
1400.0	0.37909	0.0027510	0.30585	0.0027020	0.26028	0.0024230	0.29122	0.0024940
1405.0	0.37975	0.0025370	0.30698	0.0027240	0.26081	0.0026340	0.29280	0.0030980
1410.0	0.38073	0.0028330	0.30798	0.0026940	0.26131	0.0025860	0.29377	0.0032940
1415.0	0.38176	0.0025890	0.30863	0.0027580	0.26241	0.0025400	0.29419	0.0026310
1420.0	0.38217	0.0026060	0.30937	0.0027600	0.26289	0.0026540	0.29446	0.0021870
1425.0	0.38345	0.0026530	0.30981	0.0027750	0.26381	0.0024800	0.29482	0.0025340
1430.0	0.38416	0.0027180	0.31063	0.0027460	0.26483	0.0025630	0.29531	0.0028000
1435.0	0.38591	0.0028140	0.31131	0.0028270	0.26558	0.0031320	0.29543	0.0029550
1440.0	0.38617	0.0027380	0.31238	0.0024430	0.26569	0.0028100	0.29707	0.0028640
1445.0	0.38705	0.0026820	0.31331	0.0026110	0.26597	0.0026130	0.29814	0.0024870
1450.0	0.38763	0.0027740	0.31445	0.0024650	0.26748	0.0028740	0.29899	0.0025280
1455.0	0.38877	0.0028300	0.31480	0.0026810	0.26769	0.0031710	0.29889	0.0028400
1460.0	0.38917	0.0027630	0.31561	0.0024610	0.26867	0.0030150	0.30030	0.0027470
1465.0	0.38991	0.0026650	0.31655	0.0025200	0.26951	0.0028680	0.30130	0.0024950
1470.0	0.39056	0.0026500	0.31736	0.0023220	0.26935	0.0032920	0.30154	0.0025470
1475.0	0.39134	0.0028790	0.31778	0.0024420	0.27034	0.0034740	0.30138	0.0027500
1480.0	0.39259	0.0025750	0.31864	0.0022720	0.27129	0.0031990	0.30224	0.0023620
1485.0	0.39271	0.0027350	0.31902	0.0024170	0.27230	0.0031750	0.30302	0.0025990
1490.0	0.39411	0.0026660	0.32031	0.0024530	0.27290	0.0030030	0.30314	0.0028140
1495.0	0.39392	0.0029080	0.32044	0.0024130	0.27377	0.0028890	0.30422	0.0026760
1500.0	0.39512	0.0030200	0.32172	0.0023040	0.27422	0.0031670	0.30506	0.0026830
1505.0	0.39565	0.0029470	0.32203	0.0023540	0.27538	0.0028700	0.30521	0.0031000
1510.0	0.39676	0.0027620	0.32361	0.0023400	0.27567	0.0029160	0.30597	0.0028370
1515.0	0.39725	0.0028950	0.32318	0.0024650	0.27617	0.0031530	0.30623	0.0026620
1520.0	0.39851	0.0028780	0.32439	0.0023640	0.27640	0.0027910	0.30717	0.0027160
1525.0	0.39899	0.0025960	0.32482	0.0024560	0.27737	0.0027150	0.30754	0.0029640
1530.0	0.39957	0.0025550	0.32645	0.0026120	0.27844	0.0028030	0.30797	0.0027600
1535.0	0.40001	0.0026310	0.32611	0.0027550	0.27849	0.0028040	0.30921	0.0029870
1540.0	0.40129	0.0027070	0.32721	0.0023540	0.27938	0.0028010	0.30957	0.0029240
1545.0	0.40136	0.0026900	0.32727	0.0023430	0.28043	0.0030170	0.30968	0.0025180
1550.0	0.40300	0.0026200	0.32852	0.0024060	0.28065	0.0028210	0.31001	0.0028610
1555.0	0.40260	0.0025390	0.32863	0.0024040	0.28059	0.0028410	0.31069	0.0021860
1560.0	0.40417	0.0026170	0.32939	0.0026460	0.28156	0.0027470	0.31098	0.0024040
